지점,일시,일조(hr),일조 QC플래그,일사(MJ/m2)
108,2019-06-03 01:00,,9,
108,2019-06-03 02:00,,9,
108,2019-06-03 03:00,,9,
108,2019-06-03 04:00,,9,
108,2019-06-03 05:00,,9,
108,2019-06-03 06:00,0,,.06
108,2019-06-03 07:00,.7,,.45
108,2019-06-03 08:00,1,,1.06
108,2019-06-03 09:00,1,,1.71
108,2019-06-03 10:00,1,,2.39
108,2019-06-03 11:00,1,,2.8
108,2019-06-03 12:00,1,,3.08
108,2019-06-03 13:00,1,,2.91
108,2019-06-03 14:00,1,,3.08
108,2019-06-03 15:00,1,,2.82
108,2019-06-03 16:00,.8,,1.93
108,2019-06-03 17:00,1,,1.78
108,2019-06-03 18:00,1,,1.02
108,2019-06-03 19:00,.8,,.42
108,2019-06-03 20:00,0,,.06
108,2019-06-03 21:00,,9,
108,2019-06-03 22:00,,9,
108,2019-06-03 23:00,,9,
108,2019-06-04 00:00,,9,
108,2019-06-04 01:00,,9,
108,2019-06-04 02:00,,9,
108,2019-06-04 03:00,,9,
108,2019-06-04 04:00,,9,
108,2019-06-04 05:00,,9,
108,2019-06-04 06:00,0,,.06
108,2019-06-04 07:00,.7,,.46
108,2019-06-04 08:00,1,,1.12
108,2019-06-04 09:00,1,,1.71
108,2019-06-04 10:00,1,,2.37
108,2019-06-04 11:00,1,,2.82
108,2019-06-04 12:00,1,,3.01
108,2019-06-04 13:00,1,,3.15
108,2019-06-04 14:00,1,,3.14
108,2019-06-04 15:00,1,,2.72
108,2019-06-04 16:00,1,,2.26
108,2019-06-04 17:00,1,,1.73
108,2019-06-04 18:00,1,,1.14
108,2019-06-04 19:00,1,,.47
108,2019-06-04 20:00,.1,,.05
108,2019-06-04 21:00,,9,
108,2019-06-04 22:00,,9,
108,2019-06-04 23:00,,9,
108,2019-06-05 00:00,,9,
108,2019-06-05 01:00,,9,
108,2019-06-05 02:00,,9,
108,2019-06-05 03:00,,9,
108,2019-06-05 04:00,,9,
108,2019-06-05 05:00,,9,
108,2019-06-05 06:00,0,,.03
108,2019-06-05 07:00,0,,.22
108,2019-06-05 08:00,0,,.75
108,2019-06-05 09:00,.4,,1.18
108,2019-06-05 10:00,.8,,1.96
108,2019-06-05 11:00,1,,2.86
108,2019-06-05 12:00,1,,3.14
108,2019-06-05 13:00,1,,3.23
108,2019-06-05 14:00,1,,3
108,2019-06-05 15:00,1,,2.67
108,2019-06-05 16:00,1,,2.28
108,2019-06-05 17:00,1,,1.69
108,2019-06-05 18:00,.7,,.83
108,2019-06-05 19:00,0,,.26
108,2019-06-05 20:00,0,,.04
108,2019-06-05 21:00,,9,
108,2019-06-05 22:00,,9,
108,2019-06-05 23:00,,9,
108,2019-06-06 00:00,,9,
108,2019-06-06 01:00,,9,
108,2019-06-06 02:00,,9,
108,2019-06-06 03:00,,9,
108,2019-06-06 04:00,,9,
108,2019-06-06 05:00,,9,
108,2019-06-06 06:00,0,,.06
108,2019-06-06 07:00,0,,.36
108,2019-06-06 08:00,0,,.68
108,2019-06-06 09:00,0,,.7
108,2019-06-06 10:00,0,,.82
108,2019-06-06 11:00,0,,.28
108,2019-06-06 12:00,0,,.42
108,2019-06-06 13:00,0,,.74
108,2019-06-06 14:00,0,,.59
108,2019-06-06 15:00,0,,.23
108,2019-06-06 16:00,0,,.18
108,2019-06-06 17:00,0,,.13
108,2019-06-06 18:00,0,,.09
108,2019-06-06 19:00,0,,.05
108,2019-06-06 20:00,0,,0
108,2019-06-06 21:00,,9,
108,2019-06-06 22:00,,9,
108,2019-06-06 23:00,,9,
108,2019-06-07 00:00,,9,
108,2019-06-07 01:00,,9,
108,2019-06-07 02:00,,9,
108,2019-06-07 03:00,,9,
108,2019-06-07 04:00,,9,
108,2019-06-07 05:00,,9,
108,2019-06-07 06:00,0,,0
108,2019-06-07 07:00,0,,.09
108,2019-06-07 08:00,0,,.22
108,2019-06-07 09:00,0,,.35
108,2019-06-07 10:00,0,,.61
108,2019-06-07 11:00,0,,.84
108,2019-06-07 12:00,0,,1.17
108,2019-06-07 13:00,0,,1.64
108,2019-06-07 14:00,0,,2.06
108,2019-06-07 15:00,.1,,1.81
108,2019-06-07 16:00,.2,,1.1
108,2019-06-07 17:00,1,,1.77
108,2019-06-07 18:00,1,,1.05
108,2019-06-07 19:00,1,,.61
108,2019-06-07 20:00,.4,,.09
108,2019-06-07 21:00,,9,
108,2019-06-07 22:00,,9,
108,2019-06-07 23:00,,9,
108,2019-06-08 00:00,,9,
108,2019-06-08 01:00,,9,
108,2019-06-08 02:00,,9,
108,2019-06-08 03:00,,9,
108,2019-06-08 04:00,,9,
108,2019-06-08 05:00,,9,
108,2019-06-08 06:00,0,,.06
108,2019-06-08 07:00,1,,.59
108,2019-06-08 08:00,1,,1.28
108,2019-06-08 09:00,1,,1.85
108,2019-06-08 10:00,1,,2.35
108,2019-06-08 11:00,1,,2.24
108,2019-06-08 12:00,1,,2.53
108,2019-06-08 13:00,1,,2.67
108,2019-06-08 14:00,.8,,2.17
108,2019-06-08 15:00,.7,,2.05
108,2019-06-08 16:00,.2,,1.25
108,2019-06-08 17:00,0,,.87
108,2019-06-08 18:00,.1,,.76
108,2019-06-08 19:00,.5,,.43
108,2019-06-08 20:00,0,,.04
108,2019-06-08 21:00,,9,
108,2019-06-08 22:00,,9,
108,2019-06-08 23:00,,9,
108,2019-06-09 00:00,,9,
